Xctr,Yctr,EPE,radius_circle,radius_parametric
-932,-85,-0.216113982,-0.0028249026988962154,-0.009216269038407826
-969,-84,1.483546541,-0.04032556833257343,-0.04995078441554332
-969,-52,-1.699191676,-0.014748451351660523,-0.012732442040231173
-951,-20,1.283715559,-0.013918936666635023,-0.010462855756729452
-932,-6,-0.284722167,-0.016125763604574656,-0.03105611297935762
-905,0,0.684053613,0.016201188399534685,0.031061255838617127
-887,13,2.731617037,0.013493789933865755,0.010803202313221487
-873,32,1.224781381,0.013337903457483891,0.012524892351849982
-865,59,-0.932335717,0.012169007035611417,0.01396164350655865
-865,78,0.34063764,0.02076388158060167,0.016036745074354732
-872,95,0.520139469,0.022264605270269973,0.03883422867817832
-897,113,-1.133333282,-0.0027262304131729534,-0.014136670996871381
-916,129,0.626702873,-0.001093508215463442,0.004052586572843172
-934,145,0.5511189,-0.008499995616154473,-0.006725290247526594
-951,169,-1.759548335,-0.012586834591726458,-0.030236276887807553
-958,196,2.727075313,0.003571325795586902,0.03284441815581215
-974,236,-2.6058148,-0.04066209814181241,-0.04645314151792261
-955,245,-0.19593562,-0.03658857647334895,-0.2534096763528403
-957,243,3.085766946,0.035135984671393894,0.06809110216383472
-913,207,2.810691798,0.005397158743253799,0.0027718624496369036
-860,186,0.405416014,-0.006579552238236842,-0.014568248591701248
-830,161,1.499922329,0.008191320500767223,0.012377040157208013
-767,144,-0.261750073,0.00802628569053038,0.006303649248559484
-726,151,2.902972669,0.009800663811352141,0.011762271878559789
-690,175,-1.308138777,0.005704253884592207,0.005341888892025508
-667,199,1.759846865,0.002335701990910517,0.0016057763948239018
-648,222,1.170954126,-0.003575593857962416,0.00048330913658341506
-623,246,3.023635772,-0.016165637827990586,-0.026009228834378874
-596,253,-0.092110582,-0.00921777044234066,-0.0005217606959356609
-569,253,3.622974767,-0.022465253991554884,-0.033525801391783724
-550,241,1.027641199,-0.0126560895392703,-0.009293776103915246
-530,215,0.118407235,-0.010513823291550994,-0.012939090126496343
-522,194,-0.952027771,-0.006691430289119361,-0.0007380680219798298
-516,144,-0.501649262,-0.017236871178509854,-0.025303080846183244
-534,118,1.133412632,-0.009571416705325374,-0.013477704285147139
-560,98,0.881284578,0.012023467505494698,0.018510700833502477
-575,73,-1.58307176,0.018681167034843817,0.014955461097172093
-575,45,-1.162421823,0.028460162302127067,0.04239851525113301
-564,31,-2.099004105,0.005024720321643916,-0.002781974392800631
-543,10,0.165706437,0.002891356419545644,0.008667625875290587
-523,-7,-1.374577571,-0.01038916211714358,-0.013547014532641522
-512,-22,1.470116543,-0.02720571162254268,-0.030950574766782275
-515,-55,-2.928215488,-0.027482524103241205,-0.02965617827269459
-534,-70,-1.065045212,-0.030015107983990943,-0.03792817588598445
-562,-66,2.682885515,-0.013089272706600952,-0.012234989244151825
-589,-50,-2.175097379,-0.00019976484538361682,0.0036442327281934112
-609,-38,0.255018884,-0.0035330506024572475,-0.005351837929482863
-637,-17,0.523731103,0.0041655943173541645,0.003403859826945727
-656,-6,-1.390225478,0.004136524560126412,0.009043308680389096
-683,6,-1.748443951,0.0026225107526324292,-0.0014610290772241804
-705,14,-1.5070675,0.004607765397282963,0.005242602447219747
-730,20,2.720826158,0.011944822940021478,0.012703813063680167
-760,17,0.015228944,0.01163398084818033,0.013487863070536371
-792,0,-3.628084784,0.006695405323896749,0.00605685276883186
-817,-22,-3.462542245,0.0011891578389104519,0.0019105336850213726
-853,-57,-0.888883588,-0.0019345741660613718,-0.004468705124474486
-881,-80,2.922978115,-0.013274782953532745,0.004854868034968391
